Ticker,Company,Sector,Industry
PEP,PepsiCo Inc,Consumer Staples,Beverages - Soft drinks
PFE,PFIZER INC,Health Care,Large Cap Pharmaceuticals
PFG,PRINCIPAL FINANCIAL GROUP,Financials,Insurance - Life
PG,PROCTER + GAMBLE CO/THE,Consumer Staples,Soap and Cleaning Materials
PGR,PROGRESSIVE CORP,Financials,Insurance - Property and Casualty
PH,PARKER HANNIFIN CORP,Industrials,Diversified Operations
PHM,PULTEGROUP INC,Consumer Discretionary,Construction - Home Builders
PKG,PACKAGING CORP OF AMERICA,Materials,Containers - Paper and Packaging
PLD,PROLOGIS INC,Real Estate,REIT - Retail
PLTR,PALANTIR TECHNOLOGIES INC A,Information Technology,Computer - Software
PM,PHILIP MORRIS INTERNATIONAL,Consumer Staples,Tobacco
PNC,PNC FINANCIAL SERVICES GROUP,Financials,Banks - Major Regional
PNR,PENTAIR PLC,Industrials,Diversified Operations
PNW,PINNACLE WEST CAPITAL,Utilities,Utility - Electric Power
PODD,INSULET CORP,Health Care,Medical - Products
POOL,POOL CORP,Consumer Discretionary,Retail - Miscellaneous
PPG,PPG INDUSTRIES INC,Materials,Chemical - Specialty
PPL,PPL CORP,Utilities,Utility - Electric Power
PRAX,Praxis Precision Medicines Inc,Health Care,Medical - Biomedical and Genetics
PRIM,Primoris Services Corp,Industrials,Construction - Engineering
PRU,PRUDENTIAL FINANCIAL INC,Financials,Insurance - Life
PSA,PUBLIC STORAGE,Real Estate,REIT - Self Storage
PSKY,Paramount Skydance Corp,Communication Services,Media - Diversified
PSX,PHILLIPS 66,Energy,Oil and Gas - Refining
PTC,PTC INC,Information Technology,Computer - Software
PWR,QUANTA SERVICES INC,Industrials,Construction - Engineering
PYPL,PayPal Holdings Inc,Financials,Financial Transaction Services
Q,QNITY ELECTRONICS INC,Information Technology,Electronic - Misc Components
QCOM,QUALCOMM Inc,Information Technology,Wireless Equipment
RCL,ROYAL CARIBBEAN CRUISES LTD,Consumer Discretionary,Leisure and Recreation Services
REG,REGENCY CENTERS CORP,Real Estate,REIT - Retail
REGN,Regeneron Pharmaceuticals Inc,Health Care,Medical - Biomedical and Genetics
RF,REGIONS FINANCIAL CORP,Financials,Banks - Major Regional
RGLD,Royal Gold Inc,Materials,Mining - Gold
RIVN,Rivian Automotive Inc,Consumer Discretionary,Automotive - Domestic
RJF,RAYMOND JAMES FINANCIAL INC,Financials,Investment Bank
RL,RALPH LAUREN CORP,Consumer Discretionary,Apparel
RMBS,Rambus Inc,Information Technology,Semiconductor - Integrated Circuits
RMD,RESMED INC,Health Care,Medical - Products
RNA,Avidity Biosciences Inc,Health Care,Medical - Biomedical and Genetics
ROIV,Roivant Sciences Ltd,Health Care,Medical - Biomedical and Genetics
ROK,ROCKWELL AUTOMATION INC,Industrials,Diversified Operations
ROL,ROLLINS INC,Industrials,Outsourcing
ROP,Roper Technologies Inc,Industrials,Computer - Software
ROST,Ross Stores Inc,Consumer Discretionary,Retail - Discount Stores
RPRX,Royalty Pharma PLC,Health Care,Medical - Drugs
RSG,REPUBLIC SERVICES INC,Industrials,Waste Disposal
RVMD,Revolution Medicines Inc,Health Care,Medical - Biomedical and Genetics
RVTY,REVVITY INC,Health Care,Medical - Products
SANM,Sanmina Corp,Information Technology,Electronic - Manufacturing Services
SATS,EchoStar Corp Class A,Communication Services,Satellite and Communication
SBAC,SBA COMMUNICATIONS CORP,Real Estate,REIT - Other
SBUX,Starbucks Corp,Consumer Discretionary,Retail - Restaurants
SCHW,SCHWAB (CHARLES) CORP,Financials,Investment Bank
SHOP,Shopify Inc,Information Technology,Internet - Services
SHW,SHERWIN WILLIAMS CO/THE,Materials,Chemical - Diversified
SITM,SiTime Corp,Information Technology,Semiconductor - Analog and Mixed
SJM,JM SMUCKER CO/THE,Consumer Staples,Food - Miscellaneous
SLB,SLB LTD,Energy,Oil and Gas - Field Services
SLV,iShares Silver,Precious Metals,Precious Metals
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Computer - Networking
SMMT,Summit Therapeutics Inc,Health Care,Medical - Biomedical and Genetics
SMTC,Semtech Corp,Information Technology,Semiconductor - Integrated Circuits
SNA,SNAP ON INC,Industrials,Tools - Hand Held
SNDK,Sandisk Corp/DE,Information Technology,Computer - Storage Devices
SNPS,Synopsys Inc,Information Technology,Computer - Software
SNY,Sanofi SA,Health Care,Large Cap Pharmaceuticals
SO,SOUTHERN CO/THE,Utilities,Utility - Electric Power
SOLV,SOLVENTUM CORP,Health Care,Medical - Products
SPG,SIMON PROPERTY GROUP INC,Real Estate,REIT - Retail
SPGI,S+P GLOBAL INC,Financials,Financial - Miscellaneous Services
SPXC,SPX Technologies Inc,Industrials,Diversified Operations
SRE,SEMPRA,Utilities,Utility - Gas Distribution
SSNC,SS&C Technologies Holdings Inc,Information Technology,Computer - Software
STE,STERIS PLC,Health Care,Medical - Products
STLD,STEEL DYNAMICS INC,Materials,Steel - Producers
STRL,Sterling Infrastructure Inc,Industrials,Construction - Engineering
STT,STATE STREET CORP,Financials,Banks - Major Regional
STX,Seagate Technology Holdings PLC,Information Technology,Computer - Storage Devices
STZ,CONSTELLATION BRANDS INC A,Consumer Staples,Beverages - Soft drinks
SW,SMURFIT WESTROCK PLC,Materials,Containers - Paper and Packaging
SWK,STANLEY BLACK + DECKER INC,Industrials,Tools - Hand Held
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,Semiconductor - Radio Frequency
SYF,SYNCHRONY FINANCIAL,Financials,Financial - Miscellaneous Services
SYK,STRYKER CORP,Health Care,Medical - Products
SYY,SYSCO CORP,Consumer Staples,Food - Miscellaneous
T,AT+T INC,Communication Services,Wireless National
TAP,MOLSON COORS BEVERAGE CO   B,Consumer Staples,Beverages - Soft drinks
TCOM,Trip.com Group Ltd,Consumer Discretionary,Internet - Services
TDY,TELEDYNE TECHNOLOGIES INC,Industrials,Electronic - Misc Components
TEAM,Atlassian Corp,Information Technology,Internet - Software
TECH,BIO TECHNE CORP,Health Care,Medical - Biomedical and Genetics
TEL,TE CONNECTIVITY PLC,Information Technology,Electronic - Parts
TEM,Tempus AI Inc,Health Care,Health Care
TER,TERADYNE INC,Information Technology,Semiconductor Equipment - Wafer Inspection
TFC,TRUIST FINANCIAL CORP,Financials,Banks - Major Regional
TGT,TARGET CORP,Consumer Discretionary,Retail - Discount Stores
TJX,TJX COMPANIES INC,Consumer Discretionary,Retail - Discount Stores
TKO,TKO GROUP HOLDINGS INC,Communication Services,Leisure and Recreation Services
TLN,Talen Energy Corp,Utilities,Utility - Electric Power
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Medical - Instruments
TMUS,T-Mobile US Inc,Communication Services,Wireless National
TPL,TEXAS PACIFIC LAND CORP,Energy,Oil and Gas - Exploration
TPR,TAPESTRY INC,Consumer Discretionary,Apparel
TRGP,TARGA RESOURCES CORP,Energy,Oil and Gas - Field Services
TRI,Thomson Reuters Corp,Industrials,Media - Diversified
TRMB,TRIMBLE INC,Information Technology,Computer - Peripherals
TROW,T ROWE PRICE GROUP INC,Financials,Investment - Mutual Fund
TRV,TRAVELERS COS INC/THE,Financials,Insurance - Property and Casualty
TSCO,Tractor Supply Co,Consumer Discretionary,Retail - Miscellaneous
TSLA,Tesla Inc,Consumer Discretionary,Automotive - Domestic
TSN,TYSON FOODS INC CL A,Consumer Staples,Food - Meat Products
TT,TRANE TECHNOLOGIES PLC,Industrials,Diversified Operations
TTD,Trade Desk Inc/The,Information Technology,Internet - Software
TTMI,TTM Technologies Inc,Information Technology,Electronic - Manufacturing Services
TTWO,Take-Two Interactive Software Inc,Communication Services,Computer - Software
TXN,Texas Instruments Inc,Information Technology,Semiconductor - Broad Line
TYL,TYLER TECHNOLOGIES INC,Information Technology,Computer - Software
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Transportation - Airline
UBER,UBER TECHNOLOGIES INC,Industrials,Transportation - Services
UDR,UDR INC,Real Estate,REIT - Residential
UEC,Uranium Energy Corp,Energy,Uranium
UHS,UNIVERSAL HEALTH SERVICES B,Health Care,Medical - Outpatient and Home Healthcare
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Retail - Miscellaneous
UMBF,UMB Financial Corp,Financials,Banks - Regional
UNH,UNITEDHEALTH GROUP INC,Health Care,Medical - Services
UNP,UNION PACIFIC CORP,Industrials,Transportation - Rail
UPS,UNITED PARCEL SERVICE CL B,Industrials,Transportation - Air Freight
URA,Global X Uranium,Commodities,Uranium
URI,UNITED RENTALS INC,Industrials,Leasing
USB,US BANCORP,Financials,Banks - Major Regional
UTHR,United Therapeutics Corp,Health Care,Medical - Biomedical and Genetics
V,VISA INC CLASS A SHARES,Financials,Financial Transaction Services
VICI,VICI PROPERTIES INC,Real Estate,REIT - Other
VLO,VALERO ENERGY CORP,Energy,Oil and Gas - Refining
VLTO,VERALTO CORP,Industrials,Diversified Operations
VMC,VULCAN MATERIALS CO,Materials,Building Materials
VRSK,Verisk Analytics Inc,Industrials,Business - Information Services
VRSN,VERISIGN INC,Information Technology,Internet - Software
VRTX,Vertex Pharmaceuticals Inc,Health Care,Medical - Biomedical and Genetics
VST,VISTRA CORP,Utilities,Utility - Electric Power
VTR,VENTAS INC,Real Estate,REIT - Healthcare Facilities
VTRS,VIATRIS INC,Health Care,Medical - Drugs
VZ,VERIZON COMMUNICATIONS INC,Communication Services,Wireless National
WAB,WABTEC CORP,Industrials,Transportation - Equip and Leasing
WAT,WATERS CORP,Health Care,Medical - Instruments
WBD,Warner Bros Discovery Inc,Communication Services,Media - Diversified
WDAY,Workday Inc,Information Technology,Computer - Software
WDC,Western Digital Corp,Information Technology,Computer - Storage Devices
WEC,WEC ENERGY GROUP INC,Utilities,Utility - Electric Power
WELL,WELLTOWER INC,Real Estate,REIT - Healthcare Facilities
WFC,WELLS FARGO + CO,Financials,Banks - Major Regional
WM,WASTE MANAGEMENT INC,Industrials,Waste Disposal
WMB,WILLIAMS COS INC,Energy,Oil and Gas - Field Services
WMT,Walmart Inc,Consumer Staples,Retail - Supermarkets
WRB,WR BERKLEY CORP,Financials,Insurance - Property and Casualty
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,Retail - Home Furnishings
WST,WEST PHARMACEUTICAL SERVICES,Health Care,Medical - Products
WTS,Watts Water Technologies Inc Class,Industrials,Industrial - Machinery
WTW,WILLIS TOWERS WATSON PLC,Financials,Insurance - Brokerage
WY,WEYERHAEUSER CO,Real Estate,REIT - Other
WYNN,WYNN RESORTS LTD,Consumer Discretionary,Hotels and Motels
XEL,Xcel Energy Inc,Utilities,Utility - Electric Power
XOM,EXXON MOBIL CORP,Energy,Oil and Gas - Integrated
XYL,XYLEM INC,Industrials,Industrial - Machinery
XYZ,BLOCK INC,Financials,Financial - Miscellaneous Services
YUM,YUM  BRANDS INC,Consumer Discretionary,Retail - Restaurants
Z,Zillow Group Inc,Communication Services,Internet - Services
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Medical - Products
ZBRA,Zebra Technologies Corp,Information Technology,Computer - Peripherals
ZG,Zillow Group Inc,Communication Services,Internet - Services
ZM,Zoom Communications Inc,Information Technology,Internet - Software
ZS,Zscaler Inc,Information Technology,Internet - Software
ZTS,ZOETIS INC,Health Care,Medical - Drugs
ZWS,Zurn Elkay Water Solutions Corp,Industrials,Industrial - Machinery
LDOS,Leidos Holdings,Industrials,IT Services
J,Jacobs Solutions,Industrials,Construction & Engineering
PWR,Quanta Services,Industrials,Construction & Engineering
AOS,A. O. Smith,Industrials,Building Products
ALLE,Allegion,Industrials,Building Products
PNR,Pentair,Industrials,Industrial Machinery
IEX,IDEX Corporation,Industrials,Industrial Machinery
UNP,Union Pacific,Industrials,Rail Transportation
CSX,CSX Corporation,Industrials,Rail Transportation
NSC,Norfolk Southern,Industrials,Rail Transportation
UPS,United Parcel Service,Industrials,Air Freight & Logistics
EXPD,Expeditors International,Industrials,Air Freight & Logistics
RPM,RPM International,Materials,Specialty Chemicals
AVY,Avery Dennison,Materials,Containers & Packaging
PKG,Packaging Corporation of America,Materials,Containers & Packaging
IP,International Paper,Materials,Paper & Forest Products
WRK,WestRock,Materials,Containers & Packaging
MOS,Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
DD,DuPont de Nemours,Materials,Specialty Chemicals
DOW,Dow Inc.,Materials,Commodity Chemicals
LYB,LyondellBasell Industries,Materials,Commodity Chemicals
BALL,Ball Corporation,Materials,Containers & Packaging
CCK,Crown Holdings,Materials,Metal & Glass Containers
SEE,Sealed Air,Materials,Packaging
VMC,Vulcan Materials,Materials,Construction Materials
MLM,Martin Marietta Materials,Materials,Construction Materials
ET,Energy Transfer,Energy,Oil & Gas Storage & Transportation
EPD,Enterprise Products Partners,Energy,Oil & Gas Storage & Transportation
PAA,Plains All American Pipeline,Energy,Oil & Gas Storage & Transportation
MMP,Magellan Midstream Partners,Energy,Oil & Gas Storage & Transportation
AR,Antero Resources,Energy,Oil & Gas Exploration & Production
CHK,Chesapeake Energy,Energy,Oil & Gas Exploration & Production
OVV,Ovintiv,Energy,Oil & Gas Exploration & Production
CNX,CNX Resources,Energy,Oil & Gas Exploration & Production
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings
MAT,Mattel,Consumer Discretionary,Leisure Products
PVH,PVH Corp.,Consumer Discretionary,Apparel
COH,Tapestry,Consumer Discretionary,Apparel & Luxury Goods
ANF,Abercrombie & Fitch,Consumer Discretionary,Apparel Retail
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail
LEVI,Levi Strauss & Co.,Consumer Discretionary,Apparel
HBI,Hanesbrands,Consumer Discretionary,Apparel
VFC,VF Corporation,Consumer Discretionary,Apparel
COLM,Columbia Sportswear,Consumer Discretionary,Apparel
CAG,Conagra Brands,Consumer Staples,Packaged Foods
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods
HRL,Hormel Foods,Consumer Staples,Packaged Foods
MKC,McCormick & Company,Consumer Staples,Packaged Foods
SJM,J.M. Smucker Company,Consumer Staples,Packaged Foods
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
K,Kellanova,Consumer Staples,Packaged Foods
GIS,General Mills,Consumer Staples,Packaged Foods
CLX,Clorox Company,Consumer Staples,Household Products
CHD,Church & Dwight,Consumer Staples,Household Products
OGE,OGE Energy,Utilities,Electric Utilities
IDA,IDACORP,Utilities,Electric Utilities
POR,Portland General Electric,Utilities,Electric Utilities
BKH,Black Hills Corporation,Utilities,Multi-Utilities
HE,Hawaiian Electric Industries,Utilities,Electric Utilities
AVA,Avista Corporation,Utilities,Multi-Utilities
ALE,ALLETE,Utilities,Electric Utilities
OGS,ONE Gas,Utilities,Gas Utilities
RHI,Robert Half Inc.,Industrials,Human Resource & Employment Services
MAN,ManpowerGroup Inc.,Industrials,Human Resource & Employment Services
GWW,W.W. Grainger,Industrials,Industrial Distribution
FAST,Fastenal Company,Industrials,Industrial Distribution
MSM,MSC Industrial Direct,Industrials,Industrial Distribution
AIT,Applied Industrial Technologies,Industrials,Industrial Distribution
KBR,KBR Inc.,Industrials,Construction & Engineering
MTZ,MasTec Inc.,Industrials,Construction & Engineering
DY,Dycom Industries,Industrials,Construction & Engineering
EXP,Eagle Materials,Materials,Construction Materials
SSD,Simpson Manufacturing,Industrials,Building Products
UFPI,UFP Industries,Industrials,Building Products
TREX,Trex Company,Industrials,Building Products
BCC,Boise Cascade,Industrials,Building Products
LPX,Louisiana-Pacific,Materials,Building Materials
OLN,Olin Corporation,Materials,Commodity Chemicals
ASH,Ashland Inc.,Materials,Specialty Chemicals
NEU,NewMarket Corporation,Materials,Specialty Chemicals
CE,Celanese Corporation,Materials,Specialty Chemicals
WEX,WEX Inc.,Financials,Transaction & Payment Processing Services
FNF,Fidelity National Financial,Financials,Diversified Financial Services
RDN,Radian Group,Financials,Mortgage Insurance
MTG,MGIC Investment,Financials,Mortgage Insurance
PRI,Primerica,Financials,Life & Health Insurance
VOYA,Voya Financial,Financials,Retirement Services
NJR,New Jersey Resources,Utilities,Gas Utilities
SWX,Southwest Gas Holdings,Utilities,Gas Utilities
UGI,UGI Corporation,Utilities,Multi-Utilities
AWR,American States Water,Utilities,Water Utilities
CWT,California Water Service,Utilities,Water Utilities
SJW,SJW Group,Utilities,Water Utilities
